fishing boats,colors of,the rainbow
despite,the foreclosure sign,daffodills
freezing rain,the words,I cannot take back
deep winter,igniting the match,with a lit candle
cold rain,the persistent warmth,of your kiss
Thanksgiving,a new seat,at the table
autumn wind,knowing what you,will say next
maple in full flame,becoming at last,myself
chrysanthemum moon,the way,you open me
leaf after leaf falls,the way your laugh,makes me laugh
mackerel sky,first gold leaves spangle,the maple
cricket song,my longing too,unanswered 
mosquito,and I,blood brothers
cloud watching,the reunion,of Pangaea
eclipse,the taste of goodbye,in your kiss
this old fight,knowing both our parts,thunder moon 
lingering dusk,the silence between us,says it all
lover's quarrel,the tea kettle,silenced
summer day,clover bending,with the bee's weight
ceiling fan,the whirl,of my thoughts
sego lilies,the trail dissolves,into wildflowers
As if yesterday,your twenty-year-old body,wild strawberries
yellowed envelope,holding your golden curls,spring cleaning
zazen,attempting to awaken,I fall asleep
a robin's beak,pierces its shell,earth day
twilight,portrait of a child,that will never age
untimely death,watching dust fall,through sun's rays
veil of spring rain,the anniversary,of my divorce
cloudless sky ,all the things ,I don't know 
Ash Wednesday,light rain,from the cloud-smudged sky
first crocus,the oncologist says,no hope 
terminal cancer ,the contrails end ,midair 
from my window,a maple's lichened trunk,the only green
starless night,my daughter delivered home,by a policeman
Valentine's Day,thin ice covers,the pond
biting the peel,a burst of orange mist,firelight 
first snow,all the shades,of white
solstice,sipping a stronger brew,in the waning light
year-end bank statement,reusing the tea bag,for a second cup
winter night,the chill of moonlight,on my skin
rain turns to sleet,grounding my daughter,our shared tears 
winter in the wind,no cake for this candle lit,in memoriam
all saints day,from the corner of my eye,someone no one
cold rain,a maple leaf floats,in the water basin
deep autumn,we read love poems once,in these woods
October moon,white pumpkins glow,in the field
autumn arrives early,for this mountain ridge,and me
autumn mist,bull elk's mating call,splits the silence
first frost,instead of silk,flannel
autumn equinox,the fallen leaf,"half-green, half-gold"
morning tea,returning the cup,its emptiness
autumn grasses,at least the tea,remains green
end of summer,more cucumbers,than neighbors
damselflies,dart across the water,a bluer blue
August heat,the pregnancy test results,become clear
midnight jazz,rain streaming down,the verdigris chain 
the taste,of pine's bitter honey,these bitter tears
sepia souls smile,from a photo negative,reunion
faded postcard,the Nagasaki temple,then
summer heat,kimono hung on the wall,billows from the fan
afternoon heat,tandem damselflies,bask on a reed
silver dawn,slug traces iridesce,on the garden path
sweltering stillness,the nurse flicks a bubble,from the syringe
relentless sun,my lips meet the cool arc,flowing from the hose
overgrown grapevine,unsigned divorce papers,heavy in my hand
this winding river ,confluence of what I know ,and what I don't
overcast Sunday---,the lilacs,remind me of last night
bus stop -,all eyes,on the migrating geese
desert wind --,even the stones,in unfamiliar colors
the mixed calls,of courting birds --,scent of damp earth
biting cold --,frost on the nail heads,of the old fence
winter solstice --,the fog lifts from a tree,filled with ravens
closing time --,an expensive fingernail,on the mall floor
Friday the 13th --,a bit of volcanic ash,in the winter fog
sunrise --,a view of the sky through,a worm-eaten leaf
Indian Summer --,ducks make their way,from shade to shade
afternoon heat --,bird song fades as I enter,the tunnel
summer solstice --,a flock of sandpiper splits,and splits again
the old log --,moss grows around,an obscene word
first roses --,just enough heat to,settle the mosquitoes
mid-day heat,my eyes follow,the swallow's flight
whale watching --,a distant cloud rains,into the sea
morning haze --,a mosquito above,the pond ice
a soda can,shot full of holes --,spring sun
Easter morning --,I head out into,trackless snow
first pussy willows --,the sound of a woodpecker,shifts again
home sick --,just the sound,of icicles dripping
spring frost --,a tower light pierces,the sunset
spring in the air --,my walking stick pierces,crusted snow
a fly beats,against the window --,melting snow
subzero --,a moth flies towards,the moonlit door
year's end --,a few tentative steps,on the river ice
dawn --,the maple's colors,spread through the fog
a new day --,the priest's robes,fill with snow
overnight rain --,the scent of orange blossoms,in a desert town
polished oak --,the freesia's shadow ends,in coffee foam
scattered sun --,one chickadee,louder than the rest
morning delivery --,snow comes in,with the FedEx man
dog days --,the hill carried away,a truck at a time
lingering day --,I study the moss,in a park bench
sunset --,the day's heat,still in the car
end of the drought --,a mushroom tilts,under the spruce
slow boats --,the wind pushes a butterfly,out to sea
cloud shadows --,and eagle picks over,what the tide left
ebb tide --,a photo of a missing girl,flutters in the breeze
first raindrops --,frog bones in,the middle of the path
untrodden snow --,my breath clouds the way,into the trees
crescent moon --,I follow the trail of,a dragged Christmas tree
end of the year --,tracks along the edge,of thin ice
full moon --,last week's snow,slips from a wire
steady drizzle --,a snore from the man,on the next yoga mat
moonless night --,a bath oil bead,melting in the rain
winter doldrums --,the rain drips from,plastic candy canes 
night of meteors --,the first Christmas lights,go up on the block
approaching winter --,I leave the seashell,at the bottom of my purse
the empty bench --,spilled coffee,turned to ice
working Saturday --,the small shadows of pigeons,in the fog
the puddled field --,blades of grass,pierce a cloud
morning haze --,ice drifts around,the river stones
berry stains,along the sidewalk --,hint of frost
a bright morning --,the mud pulls away,from a frosty stone
walking meditation --,I pass through,a cloud of breath
new coolness --,a train's light moves,along the mountainside
wispy clouds --,the last blossom hangs,on the fireweed
new coolness --,a pool at the center,of the lupine leaves
sirens --,the wind pushes,a butterfly to the ground
noon glare --,the wind blows sand,out to sea
dog days --,driving to the lake,to watch the icebergs drift
after the rain --,a frog-shaped shadow,wavers in the puddle
hugs --,the spider on my,old friend's arm
spray painted log --,I try not to sit,on the word f***
a few yellow leaves --,the construction site grows,towards my favorite tree
week of rain --,the insect's trail,on the flattened leaf
a winged ant,crawls on hot asphalt --,end of summer
discount store --,the unfinished tatoo,on the cashier's arm
summer dust --,a caterpillar under,the whale bone arch
a white night --,salmon bones,curled against a log
scent of new leaves --,a caterpillar swings,in a shaft of light
half-frog pose,I lie and listen,to the rain
spring currents --,the first gulls,picking bones
a hawk searches,the dry grass --,sundogs
the courtship songs,of so many birds --,wind through my shirt
scent of rain --,a whale-shaped cloud,hangs over the bay
a cold morning --,goose honks echo,off the pavement
steamed milk --,snowmelt running from,the coffee shop roof
between the yoga,and chi gung classes --,scent of burning sage
dawn storm --,a bit of mountain ash,stirred into the snow
horizonless --,sky-colored ice,turns in the bay
sharp air --,the patch of blue,changes shape
daylight moon --,the shadows of bubbles,under the ice
fog patches --,a second little face,in the sonogram
spin cycle --,snow flakes swirl outside,the laundromat
lifting fog --,a few white feathers,in the raven's breast
subzero --,the icicles filled,with moonlight
long cold snap --,the icicle,begins to fork
low clouds --,a gull circles above,the police car light
snowy banks --,the drifting duck leans,into a curve
a long split,in the black inky cap --,snow clouds
dusk--,a yellow leaf passes,through the beaver dam
season's end --,the scent of fish,drifts downstream
new coolness --,a cloud passes through,the mountain notch
soft rain,fishing line parts,a cloud of gnats
evening light,following the anchor line,into the sea
how quickly,the nights grow longer --,fireweed in bloom
summer salad --,a nasturtium burns,the tip of my tongue
a spider web,caught in my hand;,scent of rain
a damp evening --,each of us with,our own cloud of gnats
the evening train,almost empty --,sundogs
week of rain --,the henna tatoo,fading fast
low tide --,a shorebird's call,rises from the mud
Sunday drive --,all the rain clouds,toward home
wildfire haze,between the icebergs --,the blue wind
dandelions --,I lose sight of,the yellow butterfly
someone whistling,Blue Moon at the falls --,the mist
lenghtening days --,a bird's shadow crosses,the yellow wall
new moon --,lamplight fills the holes,in a shot-out sign
moss growing,on the manhole cover --,winter rain
news of his death --,I can't stop looking,at the sickle moon
daybreak -,ice between,the river stones
locking it -,moonlight at the back,of the mailbox
silence -,the evening snow falls,onto moss
distant thunder-,a caterpillar drops,from a ragged leaf
first light,the perfect symmetry,of a moth
noon --,the morning clouds,roll from the valley
slowly ...,a loon preens,in the mountains reflection
waiting...,dandelion fluff,lands on the table
a twilight sun,between two peaks -,white lilacs
boardwalking--,the dragonfly's shadow,drops through a crack
in the far shadows,something swimming,-- or a log
flashing against,the winter killed grass,a swan's whiteness
