Force and yielding meet,together: An attack,is half repulsed.
Reapers are now,"going home, back from",harvesting grain.
"They had journeyed to Rome from afar,",and here plaited for Ceres Wreaths which the Romans,today scorn to make for themselves.
Festivals no longer celebrate,"Ceres, the nourishing goddess Who replaced acorns","of old, giving man golden wheat."
Let us commemorate her,then ourselves in festival private (Two constitute,"a whole tribe, when they are two in love)."
Have you by any chance heard how that,"mystical, strange celebration Followed victorious",troops back from Eleusis to Rome?
"Greeks were the ones who began it, and",only to Greeks they proclaimed it Even within Roman,"walls: ""Come to the sanctified night."
""" Those who were not of the cult kept","their distance; neophytes trembled, Waiting in garments of","white, symbol of all that is pure."
Then the initiates must aimlessly,wander about through the eerie Circles of figures as,if pilgriming through their own dreams.
Snakes on the,ground were writhing,about.
Surely the gestures of murmuring,priests must contain some deep meaning-- Impatient,"acolytes wait, anxiously hoping for light."
Not until after many a testing,"and trial did they discover What, within sacred","ring, secretive image concealed."
What was this mystery other,"than this:   that Demeter, goddess, Once upon a",time had to a hero been kind.
"It was to Jason, powerful king","of the Cretans, she granted Of her immortal",self hidden sweet parts to explore.
That made,the fortune,of Crete!
The marital bed of the,"goddess Soon grew pregnant with grain, heavy",her bounteous fields.
"As for the rest of the world, it","languished away, while Ceres, Derelict of her true","task, dalliance offered in love."
"--Now the initiate youths, having","followed this tale, all astonished, Turned and beckoned","their loves--love, do you comprehend?"
See there the sacred,shade beneath that bushy-boughed,myrtle?
Our satisfaction,will there scarcely endanger,a world.
Cupid is always,"a scoundrel, and if you believe",him he'll cheat you.
Here's what the hypocrite,"said: ""Trust me just once","more, this time."
I have the best of intentions toward,you who have now dedicated-- I recognize,it with thanks--life and writings to me.
"Lo, I have followed you hither to","Rome, and I'd like to do something Here in this far away",land pleasing to such an old friend.
Every traveller I've ever,known has complained of poor treatment: He whom I,recommend treatment delicious receives.
How you've revered,the formative will of,those ancient artists!
In their own,ateliers often I,'ve visited them.
"As for their works, why,",I formed those myself--now this time,I'm boasting Not.
"Oh come now, admit",what I am saying,is true.
Where are your own,"creations, your service to",me having slackened?
Where is,invention's,glow now?
Where is,the color,all gone?
"Friend, do you",hope you can create,again?
--The school of the Ancients,Yet remains,open.
"Its gates,",years have not closed,them to you.
I am eternally,"young, and as teacher I still",love the young ones.
Wisdom that comes,with old age pleases,me not.
Listen here: Wasn't,antiquity young when those fortunate,Ancients were living?
Happy then be,"your life, too: in it",antiquity lives.
Where will,you find a fit theme for,your song?
--It is,I must,provide it.
As for a style,"truly grand, love can",alone give you that.
""" All of these claims",that sophist,asserted.
Could I,contradict,him?
I am wont to,"obey, when my",commander decrees.
Treacherous now he is keeping his word:,giving me themes for my poems While he is stealing,"my time, potency, presence of mind."
"Gazing into her eyes, holding hands, giving kisses,","exchanging Syllables sweet and those words lovers alone understand, Murmuring our",conversations we stutter in sweet oratory.
Hymns of such sort pass,"away, wanting",prosodical tact.
"Goddess of morning,","Aurora, as friend of my",muse I once knew you.
Has the unprincipled,"god, Cupid, seduced",you now too?
So that these mornings you come as his,"sweetheart, awakening me at His festive altar","again, where I must celebrate him?"
"Here on my breast flows her hair, an","abundance of curls, while her head rests, Pressing my","arm as it's bent, so as to pillow her neck."
"Love in our hearts makes us one,",as the genuine need there stays constant; Only,returning desire knows oscillation or change.
Gently her hand presses,"mine, now she opens her eyes and is",looking Into my own eyes.
Let my,thoughts rest,on your form!
Please,close your,eyes.
"They're inebriation,","confusion, they rob me All too soon of",the joy quiet reflection affords.
Grand are the forms of,this body and nobly,positioned each member.
Had Ariadne,"lain thus, Theseus",never had fled.
Only a single kiss for,"these lips and then, O Theseus, leave",her; Look at her eyes--she's awake!
Now you're,eternally,bound.
"Boy, won't",you light me,a lamp.
"""But dear master,",there's light in the sky,yet.
Don't waste,your oil and,the wick.
Don't close,the shutters,so soon.
Only the houses,"are blocking the sun there, it's",not yet the mountains.
Until the curfew,"shall ring, full half an",hour must pass.
""" Wretched young","fellow, be gone and",obey me!
My loved,one is,coming.
"Lamplight, console","me till then, harbinger",warm of the night.
Poets of old in chorus cried out against those,"two serpents, Making them horrible names, hated in all of the world: Python","the one, the other the Hydra of Lerna."
These monsters Both,"have now been destroyed, thanks to the",deeds of the gods.
"Fire-breathing, venomous once, they",no longer now depredate our Flocks,"and meadows and woods, fields of golden grain."
How is it then that some spiteful,god in his wrath has Raised from the poisonous slime offspring,so monstrous again?
There's an insidious viper creeps,"into the loveliest gardens, Lying in wait",to attack all who seek pleasure therein.
Noble Hesperian,"dragon, I call you courageous",and forthright.
Boldly defending,your own beautiful apples,of gold.
"As for this worm, why he is not guarding","at all, for his presence Sullies both garden and","fruit, till they deserve no defense."
Happy Lucretius knew how in,"his day to forego love completely, Fearing not",to enjoy pleasure in anyone's arms.
"Fortunate Ancient, Propertius,",for you a slave fetched the girls down From the,"Aventine Hill, from Tarpeia's grove."
"Cynthia then, when driving you out","of such unchaste embraces, Found you unfaithful,","it's true, but she did find you whole."
Who would today dare attempt,to escape from fidelity's,ennui?
Love does not,hold one back--only concern,for one's health.
Even the woman we love may afford,us uncertain enjoyment; Nowhere can feminine,lap safely encouch a man's head.
Matrimonial bed's insecure,"and so's fornication; Husband, lover and",wife pass to each other the hurt.
Think of those ages of gold when,"Jupiter followed his urges, Chose Callisto","one day, turned to Semel the next."
It was important to him to find,"thresholds of temples so sacred Pure when, enamoured,",he sought powerful entry to them.
Can you imagine the ragings of,Juno if in love's skirmish Poisonous weapons on,her by her own spouse had been turned?
But we neo-pagans may not after all be,abandoned entirely: Yet there is speeding a god mercifully,"over the earth, Quick and assiduous."
Everyone knows him and ought,"to adore him, Herald of Zeus:","Hermes, the healing god."
"Cupid will hold out his hand: O, and entrusting","myself to the rascal, I beg you please may I Do so in pleasure",with no danger or worry or fear.
I cannot think I'd have gone with,Julius Caesar to Britain; To the Popina,"right here, Florus would tug me with ease."
Fogs of the dreary north remain,a more baleful remembrance Than in the kitchens,of Rome tribes of assiduous fleas.
"After today, I'll remember you even","more kindly, tavernas, You osterias, as you","are called, aptly by those here in Rome."
That was the place I encountered my,mistress today with the uncle Whom she so often,"deceives, so that she can have me."
